"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Certificate.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 8, 76
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Checkpoints.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Dashboard.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Dealer.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 1, 7, 35
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Docket.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Employee.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\EmployeeProfile.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Expense.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 2, 12, 56
"c:\Users\lapmall\Desktop\lit_connect\src\pages\FeesPayment.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\FeesStructure.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\FeesSummaryView.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Form.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Holiday.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Leave.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 8, 7, 50
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Library.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\LibraryDash.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Login.js", "JavaScript", 0, 0, 359, 0, 0, 0, 0, 0, 19, 378
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Maps.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 7, 60
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Menus.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 3, 10, 42
"c:\Users\lapmall\Desktop\lit_connect\src\pages\News.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Notices.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Notification.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\lapmall\Desktop\lit_connect\src\pages\OtherFees.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Policy.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Registration.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Regularise.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\StuLibrary.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\StudentFees.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\StudentInfo.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\StudentReport.js", "JavaScript", 0, 0, 83, 0, 0, 0, 0, 0, 8, 91
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Students.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Ticket.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 9, 36
"c:\Users\lapmall\Desktop\lit_connect\src\pages\TimeTable.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Transactions.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Travel.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 2, 12, 58
"c:\Users\lapmall\Desktop\lit_connect\src\pages\User.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Variable.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\ViewAdmission.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\VisitReport.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 1, 7, 32
"c:\Users\lapmall\Desktop\lit_connect\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\lapmall\Desktop\lit_connect\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\lapmall\Desktop\lit_connect\src\styles\HRMSLayout.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 9, 71
"c:\Users\lapmall\Desktop\lit_connect\src\styles\theme.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"Total", "-", 19481, 1, 18614, 70, 1215, 1, 45, 1393, 2061, 42881
